embedder,labelling,k,granted_fraction,mechanism,metric,mean,lo,hi
bge-m3,compartment,5,0.1,none,context_tokens,618.0197934446716,462.0247619047619,902.8372093023255
bge-m3,compartment,5,0.1,post,context_tokens,377.43933459671155,124.71212121212122,614.6110912343468
bge-m3,compartment,5,0.1,pre,context_tokens,675.2991726455439,427.47347447073474,1441.4833222591355
bge-m3,compartment,5,0.1,part,context_tokens,675.2991726455439,427.47347447073474,1441.4833222591355
bge-m3,compartment,5,0.25,none,context_tokens,597.273303533694,458.0224786324786,883.4373900293255
bge-m3,compartment,5,0.25,post,context_tokens,431.24016672851116,310.46066572902015,706.0202346041056
bge-m3,compartment,5,0.25,pre,context_tokens,866.1243869307037,482.7207158196135,1587.4840175953073
bge-m3,compartment,5,0.25,part,context_tokens,866.1243869307037,482.7207158196135,1587.4840175953073
bge-m3,compartment,5,0.5,none,context_tokens,622.6152158325567,522.4851771636489,705.2450869663428
bge-m3,compartment,5,0.5,post,context_tokens,498.7831324252693,413.8353347197027,574.3535671641791
bge-m3,compartment,5,0.5,pre,context_tokens,797.7069401042837,545.4924167529969,1058.7251271972923
bge-m3,compartment,5,0.5,part,context_tokens,797.7069401042837,545.4924167529969,1058.7251271972923
bge-m3,compartment,5,0.75,none,context_tokens,622.8231682018059,567.0160701042196,657.8978260869565
bge-m3,compartment,5,0.75,post,context_tokens,557.0920845354477,475.4771575783598,607.7976178212722
bge-m3,compartment,5,0.75,pre,context_tokens,709.9434827186799,591.4000215416652,970.0343539445628
bge-m3,compartment,5,0.75,part,context_tokens,709.9434827186799,591.4000215416652,970.0343539445628
bge-m3,compartment,5,0.9,none,context_tokens,633.9759613534466,597.5207275483137,666.3336292528433
bge-m3,compartment,5,0.9,post,context_tokens,605.1053150098852,542.8763283556173,647.1864389233955
bge-m3,compartment,5,0.9,pre,context_tokens,659.7986468206328,582.3002622377622,805.1729197452913
bge-m3,compartment,5,0.9,part,context_tokens,659.7986468206328,582.3002622377622,805.1729197452913
