embedder,labelling,k,granted_fraction,n_labels_granted,mechanism,bucket,metric,mean,lo,hi,draws
bge-m3,compartment,5,0.1,4,_policy,all,answerable_rate,0.0786,0.013800000000000002,0.17484999999999995,40
bge-m3,compartment,5,0.1,4,_policy,all,authorized_passages,0.08887373193974793,0.013808407623731941,0.21041730710113735,40
bge-m3,compartment,5,0.1,4,_q,answerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.1,4,_q,unanswerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.1,4,none,all,authorized,0.03375,0.005900000000000001,0.08649999999999997,40
bge-m3,compartment,5,0.1,4,none,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.1,4,none,all,leaked,4.5557,4.1244000000000005,4.9144499999999995,40
bge-m3,compartment,5,0.1,4,none,all,recall,0.6467333333333334,0.6467333333333334,0.6467333333333334,40
bge-m3,compartment,5,0.1,4,none,answerable,any_hit,0.7673097868599127,0.5687707641196013,1.0,40
bge-m3,compartment,5,0.1,4,none,answerable,authorized,0.3782708362263064,0.08863636363636365,0.5920408163265306,40
bge-m3,compartment,5,0.1,4,none,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.1,4,none,answerable,leaked,1.720472768439672,1.1246527777777777,2.8837121212121204,40
bge-m3,compartment,5,0.1,4,none,answerable,recall,0.7229073079211229,0.5357558139534884,0.9303571428571428,40
bge-m3,compartment,5,0.1,4,none,unanswerable,any_hit,0.705289500664871,0.6939963045084996,0.7183255647270466,40
bge-m3,compartment,5,0.1,4,none,unanswerable,authorized,0.003214080720789168,0.0,0.009162159295789571,40
bge-m3,compartment,5,0.1,4,none,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.1,4,none,unanswerable,leaked,4.800782415709944,4.598928476338997,4.961344949837821,40
bge-m3,compartment,5,0.1,4,none,unanswerable,recall,0.6424331261430521,0.6313488876175947,0.65617326919091,40
bge-m3,compartment,5,0.1,4,part,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.1,4,part,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.1,4,part,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.1,4,part,all,recall,0.06109083333333334,0.008908333333333332,0.12512499999999996,40
bge-m3,compartment,5,0.1,4,part,answerable,any_hit,0.8279520822746644,0.6662790697674418,1.0,40
bge-m3,compartment,5,0.1,4,part,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.1,4,part,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.1,4,part,answerable,leaked,0.0,0.0,0.0,40
