track,mode,generator,arm_a,arm_b,setup_diff,per_query_diff,breakeven_queries,meaningful
obliqa,open,llama3.1:8b,a1,a2,0.0,859.1400000000001,0.0,False
obliqa,open,llama3.1:8b,a1,a2o,0.0,109.42000000000002,0.0,False
obliqa,open,llama3.1:8b,a1,a3,0.0,24063.487999999998,0.0,False
obliqa,open,llama3.1:8b,a1,a4,-1170586.0,670.222,-1746.5645711420993,False
obliqa,open,llama3.1:8b,a1,a5,-1170586.0,784.4300000000001,-1492.2759200948458,False
obliqa,open,llama3.1:8b,a1,a7,-3781285.0,1597.9660000000001,-2366.311298237885,False
obliqa,open,llama3.1:8b,a1,a8,-1170586.0,845.1000000000001,-1385.144953259969,False
obliqa,open,llama3.1:8b,a1,a8c,-1170586.0,3418.644,-342.4123716888919,False
obliqa,open,llama3.1:8b,a2,a2o,0.0,-749.72,-0.0,False
obliqa,open,llama3.1:8b,a2,a3,0.0,23204.347999999998,0.0,False
obliqa,open,llama3.1:8b,a2,a4,-1170586.0,-188.918,6196.265046210525,True
obliqa,open,llama3.1:8b,a2,a5,-1170586.0,-74.71000000000004,15668.397804845394,True
obliqa,open,llama3.1:8b,a2,a7,-3781285.0,738.826,-5117.964175597502,False
obliqa,open,llama3.1:8b,a2,a8,-1170586.0,-14.039999999999964,83375.07122507144,True
obliqa,open,llama3.1:8b,a2,a8c,-1170586.0,2559.504,-457.34876757371745,False
obliqa,open,llama3.1:8b,a2o,a3,0.0,23954.068,0.0,False
obliqa,open,llama3.1:8b,a2o,a4,-1170586.0,560.802,-2087.342769818938,False
obliqa,open,llama3.1:8b,a2o,a5,-1170586.0,675.01,-1734.1757899882964,False
obliqa,open,llama3.1:8b,a2o,a7,-3781285.0,1488.546,-2540.2540465662464,False
obliqa,open,llama3.1:8b,a2o,a8,-1170586.0,735.6800000000001,-1591.1619182253153,False
obliqa,open,llama3.1:8b,a2o,a8c,-1170586.0,3309.2239999999997,-353.7342893681419,False
obliqa,open,llama3.1:8b,a3,a4,-1170586.0,-23393.266,50.039442974743245,True
obliqa,open,llama3.1:8b,a3,a5,-1170586.0,-23279.057999999997,50.28493850567322,True
obliqa,open,llama3.1:8b,a3,a7,-3781285.0,-22465.521999999997,168.31502958177427,True
obliqa,open,llama3.1:8b,a3,a8,-1170586.0,-23218.388,50.41633381266607,True
obliqa,open,llama3.1:8b,a3,a8c,-1170586.0,-20644.843999999997,56.701130800504,True
obliqa,open,llama3.1:8b,a4,a5,0.0,114.20799999999997,0.0,False
obliqa,open,llama3.1:8b,a4,a7,-2610699.0,927.744,-2814.029516763245,False
obliqa,open,llama3.1:8b,a4,a8,0.0,174.87800000000004,0.0,False
obliqa,open,llama3.1:8b,a4,a8c,0.0,2748.4219999999996,0.0,False
obliqa,open,llama3.1:8b,a5,a7,-2610699.0,813.5360000000001,-3209.076181017189,False
obliqa,open,llama3.1:8b,a5,a8,0.0,60.67000000000007,0.0,False
obliqa,open,llama3.1:8b,a5,a8c,0.0,2634.214,0.0,False
obliqa,open,llama3.1:8b,a7,a8,2610699.0,-752.866,-3467.6808356334327,False
obliqa,open,llama3.1:8b,a7,a8c,2610699.0,1820.6779999999997,1433.9158269611653,True
obliqa,open,llama3.1:8b,a8,a8c,0.0,2573.544,0.0,False
obliqa,open,qwen3:8b,a1,a2,0.0,888.1800000000001,0.0,False
obliqa,open,qwen3:8b,a1,a2o,0.0,141.368,0.0,False
obliqa,open,qwen3:8b,a1,a3,0.0,24174.884,0.0,False
obliqa,open,qwen3:8b,a1,a4,-1170586.0,689.632,-1697.4067328662245,False
obliqa,open,qwen3:8b,a1,a5,-1170586.0,800.6239999999999,-1462.0920681868145,False
obliqa,open,qwen3:8b,a1,a7,-7511770.0,2749.308,-2732.2402582759005,False
obliqa,open,qwen3:8b,a1,a7s1,-7511770.0,3763.5159999999996,-1995.9447495374009,False
obliqa,open,qwen3:8b,a1,a7s2,-7511770.0,3765.298,-1995.0001301357822,False
obliqa,open,qwen3:8b,a1,a8,-1170586.0,841.8619999999999,-1390.4725477572335,False
obliqa,open,qwen3:8b,a1,a8c,-1170586.0,3289.5199999999995,-355.85313358787914,False
obliqa,open,qwen3:8b,a2,a2o,0.0,-746.8120000000001,-0.0,False
obliqa,open,qwen3:8b,a2,a3,0.0,23286.703999999998,0.0,False
obliqa,open,qwen3:8b,a2,a4,-1170586.0,-198.54800000000012,5895.733021737813,True
obliqa,open,qwen3:8b,a2,a5,-1170586.0,-87.55600000000015,13369.569190004087,True
obliqa,open,qwen3:8b,a2,a7,-7511770.0,1861.1279999999997,-4036.138298924094,False
obliqa,open,qwen3:8b,a2,a7s1,-7511770.0,2875.336,-2612.4842453195038,False
obliqa,open,qwen3:8b,a2,a7s2,-7511770.0,2877.118,-2610.8661514751916,False
obliqa,open,qwen3:8b,a2,a8,-1170586.0,-46.31800000000021,25272.809706809334,True
obliqa,open,qwen3:8b,a2,a8c,-1170586.0,2401.3399999999997,-487.4719948029018,False
obliqa,open,qwen3:8b,a2o,a3,0.0,24033.515999999996,0.0,False
obliqa,open,qwen3:8b,a2o,a4,-1170586.0,548.2639999999999,-2135.07726204894,False
obliqa,open,qwen3:8b,a2o,a5,-1170586.0,659.2559999999999,-1775.6167558581192,False
obliqa,open,qwen3:8b,a2o,a7,-7511770.0,2607.9399999999996,-2880.346173608289,False
obliqa,open,qwen3:8b,a2o,a7s1,-7511770.0,3622.1479999999997,-2073.844028460461,False
obliqa,open,qwen3:8b,a2o,a7s2,-7511770.0,3623.93,-2072.8242543316237,False
obliqa,open,qwen3:8b,a2o,a8,-1170586.0,700.4939999999999,-1671.0864047372286,False
obliqa,open,qwen3:8b,a2o,a8c,-1170586.0,3148.1519999999996,-371.8327450517002,False
