method,n,dim,rteb,mrr@10,recall@1,recall@3,recall@5,recall@10,recall@5_ci_lo,recall@5_ci_hi
nemotron-1b,500,2048.0,72.4,0.740965873015873,0.6051666666666667,0.7144000000000001,0.7584000000000001,0.8024,0.7241641666666667,0.7923333333333332
nemotron-8b,500,4096.0,78.5,0.7337650793650794,0.5978333333333332,0.7110666666666667,0.7570666666666667,0.8127333333333333,0.7221658333333333,0.7911683333333333
nemotron-8b+bm25,500,,78.5,0.7311150793650792,0.5820666666666666,0.7284,0.7667333333333334,0.8119000000000001,0.7333999999999999,0.8003008333333332
nemotron-1b+bm25,500,,72.4,0.7204150793650793,0.5670666666666666,0.7280666666666666,0.7547333333333334,0.8089000000000001,0.7206658333333334,0.7886358333333333
qwen3-emb-8b+bm25,500,,73.1,0.7168579365079365,0.576,0.7084,0.7447333333333334,0.8040666666666667,0.7104000000000001,0.7788999999999998
qwen3-emb-4b+bm25,500,,,0.7128222222222224,0.5679,0.7210666666666666,0.7524000000000001,0.7968999999999999,0.717565,0.7870341666666666
bge-m3-hf+bm25,500,,,0.6724698412698412,0.514,0.6814000000000001,0.7387333333333334,0.7875666666666666,0.7037316666666666,0.7738333333333333
bge-m3+bm25,500,,,0.6721698412698413,0.514,0.6814000000000001,0.7367333333333334,0.7865666666666666,0.7007333333333333,0.7714
qwen3-emb-8b,500,4096.0,73.1,0.6711055555555556,0.533,0.6792333333333334,0.7245666666666667,0.7687333333333334,0.6880666666666666,0.7595016666666666
qwen3-emb-4b,500,2560.0,,0.6689119047619048,0.5306666666666666,0.6667333333333334,0.7194,0.7774000000000001,0.683465,0.7549016666666667
bm25,500,,,0.6528976190476189,0.5017333333333334,0.6615666666666666,0.7009,0.7602333333333333,0.6636333333333333,0.7374016666666667
bge-m3,500,1024.0,,0.580331746031746,0.4481666666666666,0.5985,0.6467333333333334,0.6980666666666666,0.6075,0.686
bge-m3-hf,500,1024.0,,0.5775698412698412,0.4435,0.6005,0.6464,0.6985666666666666,0.6079,0.6842333333333334
