metric,value,split,level,n,panel_correct,humans_correct,gap
weighted_panel_correct,0.520091565748378,,,,,,
weighted_both_humans_correct,0.21225386992527004,,,,,,
weighted_either_human_correct,0.4406206960740538,,,,,,
weighted_gap,0.307837695823108,,,,,,
gap_lo,0.20616183026641488,,,,,,
gap_hi,0.412472652213919,,,,,,
discordant_panel_alone,26.0,,,,,,
discordant_humans_alone,0.0,,,,,,
mcnemar_p,2.9802322387695312e-08,,,,,,
n_paired,82.0,,,,,,
,,track,obliqa,82.0,0.5487804878048781,0.23170731707317074,0.3170731707317074
,,generator,llama3.1_8b,34.0,0.5,0.29411764705882354,0.20588235294117646
,,generator,qwen3_8b,48.0,0.5833333333333334,0.1875,0.39583333333333337
,,stratum,disagreement,32.0,0.4375,0.15625,0.28125
,,stratum,random_core,50.0,0.62,0.28,0.33999999999999997
,,discordance,panel_stricter_than_ema,0.0,,,
,,discordance,panel_stricter_than_marko,5.0,,,
,,discordance,panel_credits_both_refuse,12.0,,,
,,discordance,panel_credits_both_refuse[obliqa],12.0,,,
,,discordance,both_credit_panel_refuses,0.0,,,
