gen_file,n,maj_correct,ci_lo,ci_hi,maj_missing,maj_incorrect,panel_complete,panel_note,n_decided,n_undecided,undecided_rate,coverage_gemma3,n_gemma3,correct_gemma3,coverage_gpt-oss,n_gpt-oss,correct_gpt-oss,coverage_phi4,n_phi4,correct_phi4
obliqa_open_a1_llama3.1_8b,500,0.16,0.12842105263157894,0.1936842105263158,0.5642105263157895,0.27578947368421053,True,,475,25,0.05,1.0,500,0.236,0.986,493,0.20081135902636918,1.0,500,0.088
obliqa_open_a1_qwen3_8b,500,0.30472103004291845,0.26394849785407726,0.34763948497854075,0.26824034334763946,0.4270386266094421,True,,466,34,0.068,1.0,500,0.368,0.98,490,0.32040816326530613,1.0,500,0.23
obliqa_open_a2_llama3.1_8b,500,0.20042643923240938,0.16417910447761194,0.23880597014925373,0.42217484008528783,0.3773987206823028,True,,469,31,0.062,1.0,500,0.24,0.984,492,0.20934959349593496,1.0,500,0.198
obliqa_open_a2_qwen3_8b,500,0.32599118942731276,0.2841409691629956,0.3700440528634361,0.2555066079295154,0.4185022026431718,True,,454,46,0.092,1.0,500,0.4,0.97,485,0.33814432989690724,1.0,500,0.26
obliqa_open_a2o_llama3.1_8b,500,0.1375,0.10833333333333334,0.16875,0.65625,0.20625,True,,480,20,0.04,1.0,500,0.206,0.984,492,0.16463414634146342,1.0,500,0.092
obliqa_open_a2o_qwen3_8b,500,0.33695652173913043,0.2956521739130435,0.3804347826086957,0.28043478260869564,0.3826086956521739,True,,460,40,0.08,1.0,500,0.392,0.98,490,0.35714285714285715,1.0,500,0.246
obliqa_open_a3_llama3.1_8b,500,0.27571115973741794,0.23413566739606126,0.3172866520787746,0.45951859956236324,0.2647702407002188,True,,457,43,0.086,1.0,500,0.352,0.966,483,0.3064182194616977,1.0,500,0.188
obliqa_open_a3_qwen3_8b,500,0.3870967741935484,0.3419354838709677,0.432258064516129,0.3333333333333333,0.27956989247311825,True,,465,35,0.07,1.0,500,0.48,0.974,487,0.3408624229979466,1.0,500,0.32
obliqa_open_a4_llama3.1_8b,500,0.5053763440860215,0.46021505376344085,0.5505376344086022,0.26881720430107525,0.22580645161290322,True,,465,35,0.07,1.0,500,0.564,0.976,488,0.47950819672131145,1.0,500,0.382
obliqa_open_a4_qwen3_8b,500,0.580168776371308,0.5358649789029536,0.6245253164556954,0.21940928270042195,0.20042194092827004,True,,474,26,0.052,1.0,500,0.616,0.982,491,0.5560081466395111,1.0,500,0.46
obliqa_open_a5_llama3.1_8b,500,0.5401301518438177,0.4945770065075922,0.5856832971800434,0.28633405639913234,0.1735357917570499,True,,461,39,0.078,1.0,500,0.598,0.974,487,0.5585215605749486,1.0,500,0.404
obliqa_open_a5_qwen3_8b,500,0.5970772442588727,0.5532359081419624,0.6409185803757829,0.21085594989561587,0.19206680584551147,True,,479,21,0.042,1.0,500,0.618,0.968,484,0.5867768595041323,1.0,500,0.494
obliqa_open_a7_llama3.1_8b,500,0.4148471615720524,0.36899563318777295,0.4606986899563319,0.31877729257641924,0.2663755458515284,True,,458,42,0.084,1.0,500,0.464,0.926,463,0.4168466522678186,1.0,500,0.354
obliqa_open_a7_qwen3_8b,500,0.5689277899343544,0.5251641137855579,0.612691466083151,0.19693654266958424,0.23413566739606126,True,,457,43,0.086,1.0,500,0.57,0.938,469,0.5543710021321961,1.0,500,0.48
obliqa_open_a7s1_qwen3_8b,500,0.5468409586056645,0.5010893246187363,0.5925925925925926,0.23311546840958605,0.22004357298474944,True,,459,41,0.082,1.0,500,0.566,0.926,463,0.5615550755939525,1.0,500,0.462
obliqa_open_a7s2_qwen3_8b,500,0.5711111111111111,0.5244444444444445,0.6155555555555555,0.16444444444444445,0.2644444444444444,True,,450,50,0.1,1.0,500,0.56,0.918,459,0.5315904139433552,1.0,500,0.484
obliqa_open_a8_llama3.1_8b,500,0.4651685393258427,0.41797752808988764,0.5123595505617977,0.20224719101123595,0.3325842696629214,True,,445,55,0.11,1.0,500,0.49,0.878,439,0.46924829157175396,1.0,500,0.34
obliqa_open_a8_qwen3_8b,500,0.4890829694323144,0.4432314410480349,0.5349344978165939,0.26419213973799127,0.24672489082969432,True,,458,42,0.084,1.0,500,0.506,0.946,473,0.5116279069767442,1.0,500,0.41
obliqa_open_a8c_llama3.1_8b,500,0.44339622641509435,0.39622641509433965,0.49056603773584906,0.32075471698113206,0.2358490566037736,True,,424,76,0.152,1.0,500,0.494,0.886,443,0.48306997742663654,1.0,500,0.282
obliqa_open_a8c_qwen3_8b,500,0.5816554809843401,0.5346756152125279,0.6263982102908278,0.14988814317673377,0.2684563758389262,True,,447,53,0.106,1.0,500,0.61,0.906,453,0.5540838852097131,1.0,500,0.452
