granted_fraction,metric,mean,lo,hi
0.1,context_leak_per_query,4.476750000000001,3.9888250000000003,4.8525
0.1,answer_leak_per_query,2.5743333333333336,2.2778,2.796775
0.1,conversion,0.5749860859215872,0.5681602456274801,0.5836643567044203
0.25,context_leak_per_query,3.8533,3.184275,4.5139
0.25,answer_leak_per_query,2.216833333333333,1.86555,2.59125
0.25,conversion,0.5754432409170745,0.5639896655265687,0.5871936524275176
0.5,context_leak_per_query,2.44945,1.254125,3.281775
0.5,answer_leak_per_query,1.40005,0.729775,1.873975
0.5,conversion,0.5717191708889107,0.5474822022148355,0.595189766585395
0.75,context_leak_per_query,1.2465666666666666,0.620475,2.0942
0.75,answer_leak_per_query,0.71595,0.320425,1.1853
0.75,conversion,0.573869986022671,0.5378269339890297,0.6055347889452661
0.9,context_leak_per_query,0.4791,0.08075,0.964525
0.9,answer_leak_per_query,0.27608333333333335,0.047650000000000005,0.549725
0.9,conversion,0.573690791439214,0.4203768706911048,0.6627864227086183
