method,measure,n,value,ci_lo,ci_hi
dense,recall@1,500,0.4481666666666667,0.407,0.49133333333333323
dense,recall@3,500,0.5985,0.5583291666666665,0.6403333333333333
dense,recall@5,500,0.6467333333333334,0.607,0.6867008333333333
dense,rr@5,500,0.573,0.5346333333333334,0.611
bm25,recall@1,500,0.5017333333333333,0.4609,0.5440675
bm25,recall@3,500,0.6615666666666666,0.6226316666666666,0.6999
bm25,recall@5,500,0.7009,0.6641658333333333,0.7370666666666666
bm25,rr@5,500,0.645,0.606765,0.682035
hybrid,recall@1,500,0.5235,0.482,0.5648333333333333
hybrid,recall@3,500,0.6852333333333334,0.6471333333333333,0.7235666666666666
hybrid,recall@5,500,0.7245666666666666,0.6895325,0.7608333333333333
hybrid,rr@5,500,0.6682333333333333,0.6312316666666666,0.7039333333333333
